Code,Name,ECTS,Semester,Group,Reqs,Topics
W.MSCIDS_CVI03,Computer Vision,3,3,Core Elective Module Advanced Topics,W.MSCIDS_DLB03,"Fully connected NNs, Convolutional NNs, Training and optimization of NNs, Recurrent Neural Networks (RNN), Transformer, Graph Neural Network"
W.MSCIDS_DWL03,"Data Warehousing and
Data Lake Systems",6,3,Core Elective Module Advanced Topics,W.MSCIDS_DBM02,"Business Requirements, Data Lake Systems, Data Lake Systems, Data Warehouse Systems, Data Analysis in the Data Lake, Schema on Read, Data Pipelines, Relational Database Services, Data Collection, Data Preprocessing, Manipulate Data Structures, ETL Process, REST APIs, Feature Extraction, Detecting Problems, Data imputation, Amazon Lamda Functions, Apache Airflow, AWS Storage Services, Tableau, AWS S3 Buckets, AWS RDS, AWS Glue"
W.MSCIDS_ETL03,Modern Data Engineering,3,3,Core Elective Module Advanced Topics,"W.MSCIDS_DBM02, W.MSCIDS_CIP02","ETL Process, Principles, Data Lake Systems, Cloud Computing, Real time Streaming, Real time ELT Architectures, Data Streams, Robotic Process Automation, Web Data Scraping, Feature Extraction, Data Pipelines, Apache HOP, Apache/Confluent KAFKA, MySQL/MariaDB, Azure Cloud"
W.MSCIDS_PRA03,"Pattern Recognition in
Audio-Signals",3,3,Core Elective Module Advanced Topics,"W.MSCIDS_MPM02, W.MSCIDS_CIP02","Audio-Signals, Pattern Recognition, Matrix algebra, Euclidean vector space, Linear maps, Matrix decompositions"
W.MSCIDS_REC03,Recommender Systems,3,3,Core Elective Module Advanced Topics,"W.MSCIDS_MPM02, W.MSCIDS_CIP02","Content-based RS, Collaborative filtering, Matrix Factorization, Restricted Boltzmann Machines, Knowledge graph-based RS, Hybrid recommender"
W.MSCIDS_DE_CRA01,Customer Data Analytics,3,open,Core Elective Module Domain Experience,,"Customer Experiences, Customer Journey, Customer Relationship Management"
W.MSCIDS_DE_DAE01,"Data Analytics for Energy Systems
and IoT",3,open,Core Elective Module Domain Experience,,"Energy Systems, IoT, Principles, Collecting energy system data, Remote diagnosis, smart maintenance, Estimating residential energy demand, Load forecasting"
W.MSCIDS_DE_FRD01,Fraud Detection,3,open,Core Elective Module Domain Experience,,"Strategies, Tools, Solutions, Lab Experience, Case Study"
W.MSCIDS_DE_GD01,"Geospatial Data Analysis for
Smart Communities",3,open,Core Elective Module Domain Experience,,"Smart communities, Principles of georeferencing, Simulations, Movement patterns, Spatial data used for political purposes, Data preparation"
W.MSCIDS_DE_HEA01,Data Science in Healthcare,3,open,Core Elective Module Domain Experience,W.MSCIDS_SA01,"Healthcare, Data Science Role, Working with Data, R for data projects, Python for data projects"
W.MSCIDS_DE_NER01,Natural Experiments Using R,3,open,Core Elective Module Domain Experience,,"Natural Experiments, Matching, Instrumental Variables, Difference-in-Differences, Regression Discontinuity Design, Natural Experiments, Regression models, Panel Data"
W.MSCIDS_DE_ODS01,"Tourism and Open Destination
Data Space",3,open,Core Elective Module Domain Experience,,"Tourism, Tableau, Geospatial Data, open data infrastructures, data visualizations, open data policy"
W.MSCIDS_DE_SDA01,Sport Data Analytics,3,open,Core Elective Module Domain Experience,,"Sports, Sport Phenomena, Sports Data Analytics, Profiling / Scouting, Athlete Development"
W.MSCIDS_DE_SUA01,Sustainability Analytics,3,open,Core Elective Module Domain Experience,,"Sustainability, Sustainability, Regression, Time-series analysis, System dynamics, Systems tools, Integrated assessment modeling, Sustainable development goals, Climate science, Finite resource management, Tourism, Agriculture, Infrastructure, Working with Data, Data sourcing and integration"
W.MSCIDS_DE_TSA01,Time Series Analysis in Finance,3,open,Core Elective Module Domain Experience,,"Finance, Time Series Analysis in Finance, Principles of financial markets, Risk management, Portfolio management (Markowitz, CAPM), Forecast models, Crypto assets, High frequency trading, Macroeconomic time series, Behavioral finance"
W.MSCIDS_LOG01,"Data-driven Supply Chain Management
und Logistics",3,open,Core Elective Module Domain Experience,,"Logistics, Supply network resilience, Network modelling, Smart logistics service design"
W.MSCIDS_GOV03,Data Strategy and Governance,3,3,Core Elective Module Advanced Topics,W.MSCIDS_DBM02,"Data Strategy, Data maping, Cloud Governance, Data Ruirements engineering"
W.MSCIDS_HVD03,"Hands-on Visualisation for
Data Science",3,3,Core Elective Module Advanced Topics,"W.MSCIDS_DBM02, W.MSCIDS_PDS01","Design Principles, Planning, Design Phase, Dasboards in production, Industry dashboard design, Tableau"
